town,submarket_or_compound,listings,median_price,median_price_per_sqm,property_types
New Cairo City,5th Settlement Compounds,3688,12864000.0,69455.04664970314,6
New Cairo City,Unknown,514,13550000.0,72670.70008643043,6
Ras Al Hekma,Unknown,417,10278410.0,89473.68421052632,6
Hurghada,Unknown,386,3697305.5,53000.0,5
Sidi Abdel Rahman,Unknown,370,18000000.0,118846.36563876653,6
Madinaty,Unknown,340,7145882.0,57196.759259259255,4
Al Ain Al Sokhna,Unknown,340,7100000.0,65188.88888888889,6
6 October City,O West,269,10300000.0,67329.54545454546,5
Sheikh Zayed City,Zed Towers,228,8816000.0,73052.92828061385,2
New Cairo City,El Katameya Compounds,223,50000000.0,73125.0,5
Qesm Marsa Matrouh,Unknown,219,15000000.0,107142.85714285714,6
Mostakbal City - Future City,Sarai,205,6200000.0,39115.6462585034,5
Shorouk City,Al Burouj Compound,201,10000000.0,46651.6129032258,5
6 October City,The Crown,157,18500000.0,68750.0,5
Hurghada,Soma Bay,156,15600000.0,112143.7676028481,6
Qesm Ad Dabaah,Unknown,152,17178330.0,111993.76947040498,6
6 October City,Badya Palm Hills,151,6200000.0,48930.48128342246,4
6 October City,Palm Hills Golf Extension,147,27000000.0,82222.22222222222,5
New Cairo City,Bait Alwatan,144,4056000.0,24000.0,2
Hurghada,Magawish Resort,137,5984000.0,66362.63736263737,3
Sheikh Zayed City,Village West,137,7000000.0,57522.12389380531,4
Sheikh Zayed City,Vye Sodic,136,11400000.0,78760.71884692574,5
New Capital City,La Vista City,134,19000000.0,83344.7390932421,4
New Cairo City,90 Street,123,8136688.0,51500.0,5
New Capital City,Unknown,121,6160000.0,39257.142857142855,5
6 October City,Mountain View iCity October,119,5820000.0,41153.846153846156,4
New Heliopolis,Sodic East,118,14500000.0,65218.75,5
Sheikh Zayed City,The Estates,117,20000000.0,81818.18181818182,4
6 October City,New Giza,108,21500000.0,81892.69746646796,5
Hurghada,Makadi Orascom Resort,102,10000000.0,84140.37297861242,6
6 October City,Palm Parks   Palm Hills,102,9125000.0,59220.77922077922,4
Al Alamein,Unknown,101,3500000.0,50000.0,4
Mostakbal City - Future City,L'avenir,100,4167000.0,26717.557251908398,4
Sheikh Zayed City,Kayan,98,5290001.0,50000.0,4
Sheikh Zayed City,Allegria,95,37000000.0,114285.71428571429,4
Sheikh Zayed City,Unknown,95,5300000.0,31407.0351758794,4
Hurghada,Mangroovy Residence,88,13988347.0,111242.06349206349,6
Sheikh Zayed City,Solana,85,15000000.0,97315.43624161073,5
New Cairo City,Fifth Square,82,10500000.0,67615.6462585034,3
New Cairo City,Creek Town,82,8750000.0,65453.125,5
Sheikh Zayed City,Beverly Hills,80,9781200.0,45546.3015245624,5
Alexandria Compounds,Unknown,75,12000000.0,60000.0,4
Sheikh Zayed City,Belle Vie,73,24985000.0,93624.1610738255,4
Mostakbal City - Future City,Bloomfields,73,5400000.0,34000.0,5
New Cairo City,El Rehab Extension,69,8500000.0,58000.0,5
6 October City,Sun Capital,68,6793500.0,47815.126050420164,5
Hurghada,Veranda,67,7200000.0,98148.14814814815,3
Sheikh Zayed City,Al Khamayel city,67,5200000.0,34965.03496503497,3
6 October City,Palm Hills Golf Views,63,31000000.0,107142.85714285714,4
Sheikh Zayed City,Al  Rabwa,61,22000000.0,71601.94174757281,5
New Cairo City,Al Andalus Buildings,60,4200000.0,23078.947368421053,2
Sheikh Zayed City,Karmell,59,13800000.0,81967.2131147541,5
Sheikh Zayed City,Etapa,59,7000000.0,46822.66914498141,5
Sheikh Zayed City,AlKarma Kay,57,6000000.0,36637.93103448276,1
6 October City,Joulz,57,7300000.0,51334.7022587269,5
Sheikh Zayed City,Westown,57,19500000.0,76923.07692307692,5
New Cairo City,El Narges Buildings,57,5300000.0,30434.782608695652,3
New Cairo City,Cairo Festival City,55,19200000.0,111111.11111111111,5
Mostakbal City - Future City,Green Square,55,4800000.0,29302.325581395347,4
Sheikh Zayed City,Patio Al Zahraa,53,9000000.0,71025.44529262086,4
6 October City,Swan Lake West,53,18000000.0,82500.0,5
Hadayek El Ahram,Unknown,53,2280000.0,16200.0,3
Sheikh Zayed City,Zayed Dunes,52,7650000.0,44140.030441400304,3
Noor City,Unknown,50,12000000.0,56740.442655935614,3
Mostakbal City - Future City,HAP Town,50,6000000.0,35857.142857142855,4
6 October City,Grand Heights,48,11000000.0,46166.89383613509,4
Mohandessin,Unknown,48,7000000.0,35147.05882352941,2
6 October City,Unknown,46,3995000.0,29361.05476673428,5
6 October City,Tawny Hyde Park,45,7200000.0,83273.87739463602,4
New Heliopolis,Talala,44,5849996.0,39785.39589442815,3
6 October City,Palm Hills October,44,30000000.0,91038.96103896105,4
New Cairo City,Galleria Moon Valley,43,8485375.0,61538.46153846154,2
Al Alamein,Latin District,43,5797943.0,46268.65671641791,2
New Capital City,New Garden City,43,6600000.0,40322.58064516129,1
Shorouk City,El Patio,42,9150000.0,57456.94317330893,5
Al Ain Al Sokhna,La Vista 6,42,9450000.0,70000.0,4
6 October City,PX Palm Hills,42,9229561.0,78734.32479312993,3
El Nozha,Stoda,41,1500000.0,7572.463768115942,2
